Drive File ID,Filename,Parent folder,Image dimensions,Used / Unused,Existing linked Experience,Main physical object or location,Unused reason
1q73mKowvDH2VRNFnwNYEVDLX0iBTkkf1,IMG_9707.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU020 — Yacht Club View,Yacht Club building view,
1HK5YnmdIjhwZqj8Cg3fcoTXDW4VuliAj,IMG_9720.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Lawn tree and resort block,Repeated lawn-tree location with no distinct stable object.
1u2KVBAu0HQEeBNWU4EyhZQ0ixSoa_CJh,IMG_9709.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU022 — Hidden Brickwork,Exposed brick section,
16UVsaOPk4oR6oTCjHVjjzuU_mj4J944c,IMG_9703.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Beachfront shade-tree grove,Same beachfront tree zone already represented by IMG_9702.
1kSl3-K7_ojS54ZGug1JPreIa5tJA1Vqn,IMG_9727.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Bare wall-side ground feature,Low-distinctness bare-ground area; unsuitable clue.
1rUG40AK9vN5fOrjSNroERBTsH8rTiG-g,IMG_9715.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU025 — Beachfront Giant,Large beachfront shade tree,
1C7vqph9hP6UTKb32Y-e9ngv9Zfcl-tds,IMG_9717.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU026 — Tyre Traverse,Tyre traverse activity,
1LLEJyNd88q_Zp6naGF3t3b90HOK7Vk5F,IMG_9699.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU016 — Jungle Gym,Outdoor climbing frame,
1HIU6pQ73_kybtit058uVsyd8LnHhlIDG,IMG_9723.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Green balance beam,Alternate angle of the balance beam represented by IMG_9722.
1VbB2xH3EL0lMI1y9aAL5RSPjlfNKWD0D,IMG_9701.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU018 — Horseshoe Pitch,Horseshoe activity lane,
1Ng-YiP2iObyWxYnqFPSPlZ680xFavxH3,IMG_9722.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU030 — Balance Beam,Green balance beam,
1c5Sx-qL8uFNG28Fs_v50MVwhQlS0AKwo,IMG_9713.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Wall drainage outlet,Overlapping drainage detail; weak participant clue.
12ItILWt7_6-cUkor8rFsbMgd2VBblYrZ,IMG_9725.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Unused,,Beachfront tree grove,Repeated beachfront grove with no independently distinct marker.
1Em-FHS6wdFCw3qhRu2mPUCK2G8lc-iZD,IMG_9721.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU029 — Green Platform,Green activity platform,
1iObMljJVAqXd4Ee4zNfuZrAarYLvT0RA,IMG_9719.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU028 — Tyre Hoop,Upright tyre hoop,
1clcjOXQGTvQkOCjhN4WmKMdd-ZoSiZyg,IMG_9718.HEIC,Bayu Beach root (1rhyaWEGQQ_Q7_WgBfj-nRSVDlopBRJVK),4032×3024,Used — newly mapped,BBU027 — Stone Steps,Stepping-stone activity,
